№	Наименование параметров	Нормы для нефти	Метод испытания	Примечание
1.	Плотность, кг/м3 при температуре 20о С, не более 	895	ГОСТ 3900
2.	Массовая доля воды, % не более	1	ГОСТ 2477
3.	Массовая концентрация хлористых солей, мг/дм3 не более	300	ГОСТ 21534	
4.	Массовая доля механических примесей, % не более	0,05	ГОСТ 6370	
5.	Давления насыщенных паров, кПа (мм РТ, ст), не более	66,7 (500)	ГОСТ 1756	
6.	Массовая доля парафина, % не более	6	ГОСТ 11851	(0-10%)
7.	Массовая доля сероводорода, млн-1 (ppm), не более	50	ГОСТ Р50802	
8.	Массовая доля метил- и этил меркаптанов в сумме, млн-1 (ppm), не более	отсутствие	ГОСТ Р 50802	
9.	Массовая доля серы, % не более	0,4	ГОСТ Р 51947	Макс 0,6%
10.	Выход фракций, % не менее, до температуры:		ГОСТ 2177	По требованиям КПК
	150о С	12	 	(10-30)
	350о С	50	 	(48-68)
11.	Температура застывания,  оС не выше	Плюс 10	ГОСТ 20287	(-5 +15)
